survey_year,survey_month_x,conglomerate_id,dwelling_id,household_id,person_id,geographic_code,geographic_domain_x,geographic_stratum,relationship_household_head,relationship_nucleus_head,sex,age_years,marital_status,glass_of_milk_program,community_kitchen,preschool_breakfast,preschool_lunch,wawa_wasi_cuna_mas_food,no_food_assistance,municipal_food_basket,wawa_wasi_cuna_mas_daycare,wawa_wasi_family_support,family_violence_support_center,juntos_program,pension_65_program,literacy_program,youth_job_training,trabaja_peru_program,beca_18_scholarship,no_social_program,fise_gas_subsidy,cts_withdrawal,afp_withdrawal,educational_materials_program,yanapay_program,orphan_economic_assistance,contigo_social_program,chapter_300_informant_id,person_number,native_language,last_approved_level,last_approved_year,last_approved_grade,last_approved_institution_type,higher_education_career_code,higher_education_institution_code,higher_education_institution_department,can_read_write_spontaneous,can_read_write_card_test,bribery_last_12m,conflict_alimony,conflict_child_custody,conflict_visitation_rights,conflict_eviction,conflict_compensation,conflict_property_division,conflict_domestic_violence,conflict_theft_robbery,conflict_sexual_assault,conflict_other_1,conflict_other_2,shock_job_loss,shock_business_failure,shock_illness_accident,shock_household_head_abandonment,shock_crime_theft,shock_natural_disaster,shock_none,key_table,survey_month_y,geo_code,geographic_domain_y,respondent_id_ch700a,nonfood_aid_recipient_id,social_program_month,benefit_month_start,benefit_year_start,benefit_month_end,benefit_year_end,current_beneficiary,questionnaire_source,quarterly_weight_cpv2007,survey_month_700B1,person_order,respondent_id,geo_code_700B1,geographic_domain_700B1,trust_jne,questionnaire_source_b,survey_month_100,geo_code_100,geographic_domain_100,other_regular_dwelling,facade_plastered,facade_painted,street_public_lighting,dwelling_tenure,loan_buy_dwelling,loan_buy_land,loan_improve_dwelling,loan_build_dwelling,main_water_source,water_is_potable,chlorine_residual_level_recoded,chlorine_residual_level_kit,water_access_daily,water_sample_collector,water_sample_point,toilet_connection_type,lighting_electricity,electricity_service_type,main_cooking_fuel,has_cellphone,has_internet,last_expense_water,last_expense_electricity,last_expense_cellphone,last_expense_internet,water_paid_hh,electricity_paid_hh,cellphone_paid_hh,internet_paid_hh,water_donated_other_hh,electricity_donated_other_hh,cellphone_donated_other_hh,internet_donated_other_hh,total_monthly_expense_paid,total_monthly_expense_donated,total_monthly_expense_self_supply,water_source_recoded,respondent_id_ch200,respondent_id_expenditures,exp_period_start_day,exp_period_start_month,exp_period_start_year,exp_period_end_day,exp_period_end_month,exp_period_end_year,sold_real_estate,sold_household_equipment,respondent_id_ch700_100,respondent_id_ch700a_100,respondent_id_ch800,respondent_id_water_quality,questionnaire_source_100,d_water_paid_hh,d_water_donated_other_hh,d_electricity_paid_hh,d_electricity_donated_other_hh,d_cellphone_paid_hh,d_cellphone_donated_other_hh,d_internet_paid_hh,d_internet_donated_other_hh,i_water_paid_hh,i_electricity_paid_hh,i_cellphone_paid_hh,i_internet_paid_hh,i_water_donated_other_hh,i_electricity_donated_other_hh,i_cellphone_donated_other_hh,i_internet_donated_other_hh,quarterly_weight_cpv2007_100,toilet_type_recoded,nbi1_inadequate_housing,nbi2_overcrowding,nbi3_no_sanitation,nbi4_children_out_school,nbi5_high_economic_dependency
2025,4,16170,12,11,1,70104,Lima Metropolitana,De 500 000 a mas habitantes,Jefe/Jefa,Jefe/jefa de hogar,Mujer,82,Viudo(a),Pase,Pase,Pase,Pase,Pase,No recibio,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,No recibio,Pase,Pase,Pase,Pase,Pase,Pase,Pase,0.0,1.0,99,99,99.0,9.0,9,,,,9,,9,,,,,,,,,,,,,,,,,,,4701041617012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,16170,12,11,2,70104,Lima Metropolitana,De 500 000 a mas habitantes,Otros no parientes,Jefe/jefa de hogar,Mujer,39,Separado(a),Pase,Pase,Pase,Pase,Pase,No recibio,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,No recibio,Pase,Pase,Pase,Pase,Pase,Pase,Pase,2.0,2.0,Castellano,Secundaria completa,5.0,,Estatal,,,,,,,,,,,,,,,,,,,,,,,,,4701041617012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,16170,12,11,3,70104,Lima Metropolitana,De 500 000 a mas habitantes,Otros parientes,Hijo(a),Mujer,20,Soltero(a),Pase,Pase,Pase,Pase,Pase,No recibio,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,No recibio,Pase,Pase,Pase,Pase,Pase,Pase,Pase,2.0,3.0,Castellano,Superior universitaria incompleta,3.0,,No estatal,Administracion y Marketing,Universidad Particular del Norte,13.0,,,,,,,,,,,,,,,,,,,,,,4701041617012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,16170,12,11,4,70104,Lima Metropolitana,De 500 000 a mas habitantes,Otros parientes,Hijo(a),Mujer,14,Soltero(a),Pase,Pase,Pase,Pase,Pase,No recibio,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,Pase,No recibio,Pase,Pase,Pase,Pase,Pase,Pase,Pase,2.0,4.0,Castellano,Secundaria incompleta,2.0,,No estatal,,,,,,,,,,,,,,,,,,,,,,,,,4701041617012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,16170,24,11,1,70104,Lima Metropolitana,De 500 000 a mas habitantes,Jefe/Jefa,Jefe/jefa de hogar,Mujer,64,Casado(a),,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Castellano,Superior universitaria incompleta,4.0,,No estatal,Psicologia,Universidad de San Martin de Porres,15.0,,,No,No,No,No,No,No,No,No,No,No,No,No,Pase,Pase,Pase,Pase,Pase,Pase,Ninguno,4701041617024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,16170,24,11,2,70104,Lima Metropolitana,De 500 000 a mas habitantes,Esposo(a)/compañero(a),Esposa(o),Hombre,61,Casado(a),,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,Castellano,Superior universitaria incompleta,2.0,,Estatal,Economia,Universidad Nacional del Callao,15.0,,,,,,,,,,,,,,,,,,,,,,4701041617024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,16170,24,11,3,70104,Lima Metropolitana,De 500 000 a mas habitantes,Hijo(a)/Hijastro(a),Jefe/jefa de hogar,Mujer,45,Soltero(a),,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,Castellano,Secundaria completa,5.0,,Estatal,,,,,,,,,,,,,,,,,,,,,,,,,4701041617024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,16170,24,11,4,70104,Lima Metropolitana,De 500 000 a mas habitantes,Nieto(a),Hijo(a),Hombre,22,Soltero(a),,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,Castellano,Secundaria completa,5.0,,No estatal,,,,,,,,,,,,,,,,,,,,,,,,,4701041617024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,16170,24,11,5,70104,Lima Metropolitana,De 500 000 a mas habitantes,Nieto(a),Hijo(a),Hombre,19,Soltero(a),,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Castellano,Secundaria completa,5.0,,No estatal,Psicologia,Universidad Particular del Norte,13.0,,,,,,,,,,,,,,,,,,,,,,4701041617024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,16170,24,11,6,70104,Lima Metropolitana,De 500 000 a mas habitantes,Hijo(a)/Hijastro(a),Jefe/jefa de hogar,Mujer,45,Casado(a),,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,Castellano,Secundaria completa,5.0,,Estatal,,,,,,,,,,,,,,,,,,,,,,,,,4701041617024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
